134.71.15.78 - - [06/Oct/2021:20:30:00 +0000] "GET / HTTP/1.1" 400 66866 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
134.71.15.78 - - [06/Oct/2021:20:30:01 +0000] "GET /favicon.ico HTTP/1.1" 400 66823 "https://paradisum.io/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
134.71.15.78 - - [06/Oct/2021:20:52:14 +0000] "GET / HTTP/1.1" 400 67003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
134.71.15.78 - - [06/Oct/2021:20:52:14 +0000] "GET /favicon.ico HTTP/1.1" 400 67088 "https://paradisum.io/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
96.45.163.18 - - [06/Oct/2021:21:23:53 +0000] "GET / HTTP/1.1" 400 65177 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:82.0) Gecko/20100101 Firefox/82.0"
107.174.133.232 - - [06/Oct/2021:21:23:54 +0000] "GET / HTTP/1.1" 400 65198 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:82.0) Gecko/20100101 Firefox/82.0"
34.222.106.9 - - [06/Oct/2021:21:36:08 +0000] "GET / HTTP/1.1" 400 65362 "-" "Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19"
54.184.241.242 - - [06/Oct/2021:21:46:42 +0000] "GET / HTTP/1.1" 400 64734 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
119.123.241.163 - - [06/Oct/2021:22:19:37 +0000] "HEAD / HTTP/1.1" 400 2383 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 1.0.3705; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
111.7.100.25 - - [06/Oct/2021:23:54:09 +0000] "GET / HTTP/1.1" 400 65432 "http://paradisum.io" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36"
52.125.128.12 - - [07/Oct/2021:00:11:33 +0000] "POST /autodiscover/autodiscover.xml HTTP/1.1" 400 65779 "-" "OutlookMobileCloudService-Autodetect/1.0.0"
52.125.128.12 - - [07/Oct/2021:00:11:33 +0000] "POST /autodiscover/autodiscover.xml HTTP/1.1" 400 65779 "-" "OutlookMobileCloudService-Autodetect/1.0.0"
35.163.227.238 - - [07/Oct/2021:00:22:30 +0000] "GET / HTTP/1.1" 400 65365 "-" "Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19"
108.244.58.79 - - [07/Oct/2021:00:22:32 +0000] "GET / HTTP/1.1" 400 67066 "-" "Mozilla/5.0 (Linux; Android 9; SM-N950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Mobile Safari/537.36"
